叶型库8-PCA5维优化结果    叶型库8-KPCA5维优化结果
4.446891434715871672e-02    4.423570071090120875e-02
1.371691645484550415e-01    1.359321994645889542e-01
4.502331370722675863e-02    4.473923114984199034e-02
1.402245913515147158e-01    1.390123879714148247e-01
4.555066906788779457e-02    4.522031024924681036e-02
1.432030994394862256e-01    1.420139082126060104e-01
4.604384023749621968e-02    4.567474196325917168e-02
1.461010797214404022e-01    1.449311276411089922e-01
4.649485340038192471e-02    4.609696871538812579e-02
1.489145539988019351e-01    1.477584817020055896e-01
4.689566678256874843e-02    4.648041158587346705e-02
1.516388966099458668e-01    1.504903886150550651e-01
4.723888935898816477e-02    4.681790023565554626e-02
1.542686362700826097e-01    1.531211518780734582e-01
4.751840552567297704e-02    4.710220846506722042e-02
1.567973773239861035e-01    1.556448653621827216e-01
4.772994544654847460e-02    4.732676624098213630e-02
1.592178528149960359e-01    1.580553351715597854e-01
4.787159324187148512e-02    4.748652565850781937e-02
1.615219463481019635e-01    1.603459019611004344e-01
4.794423510467328564e-02    4.757892397487523128e-02
1.629890351276264415e-01    1.618028010219689505e-01
4.795617311133722194e-02    4.760334263608658606e-02
1.637008725515085583e-01    1.625093655813166504e-01
4.795187890154554988e-02    4.760477512396237010e-02
1.643977583804153431e-01    1.632009323600193407e-01
4.794114102261440302e-02    4.759931333341733267e-02
1.650793386206696745e-01    1.638771932661419461e-01
4.792430365844377316e-02    4.758723703609039901e-02
1.657452615051273892e-01    1.645378443900383236e-01
4.790174847134767711e-02    4.756887917568455165e-02
1.663951728052482926e-01    1.651825680020236609e-01
4.787388534116499006e-02    4.754461580427527673e-02
1.670286877523692870e-01    1.658110176712654649e-01
4.784116011348266140e-02    4.751487504755472907e-02
